STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1570,R NEELESWARAM AT HOSDURG,3,29,6.5,7,14369,1.3,0.27,63,175,2012
1563,R NEYYAR AT AMARAVILA,3,28,6.6,7.3,70,1.4,0.39,838,1875,2012
2284,R NEYYAR AT ARUVIPURAM,3,29,7,7.3,60,0.8,0.18,631,1813,2012
2288,R PALLICKAL AT NELLIMUKAL,3,26,6.3,7.2,97,0.8,0.56,357,880,2012
1156,PAMBA AT CHENGANNUR,3,28,6,7,63,1.1,1.04,243,493,2012
1341,PAMBA AT THAKAZHY,3,28,4.4,7.1,113,1.5,1.17,358,722,2012
1565,PAMBA DOWN,3,28,4.5,7.2,79,1,1.04,279,537,2012
17,PERIYAR NEAR ALWAYENANELOOR,3,28,5.1,6.9,1789,2.1,0.68,408,1946,2012
18,PERIYAR AT KALADY,3,27,7.5,7.2,36,1.1,0.27,282,1134,2012
1338,PERIYAR AT SEWAGE DISCHARGE POINT,3,28,6.8,7,59,1.3,0.32,648,2267,2012
2333,PERIYAR AT MUPPATHADAM,3,28,6.8,6.9,114,1.4,0.23,388,1785,2012
2334,RIVER PERIYAR AT PATHALAM,3,28,5.9,6.8,1108,2.2,0.62,386,1520,2012
2335,R PERIYAR AT KALAMASSERY,3,28,4.9,6.7,88,2.2,0.28,480,2200,2012
2336,R PERIYAR AT PURAPPALLIKAVU,3,28,6.8,6.9,1686,1.4,0.25,236,1223,2012
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",3,28,7.1,6.9,45,1.2,0.29,451,1636,2012
2300,PERUVAMBA AT CHANDAPPURA,3,26,6.9,6.6,56,1.1,0.3,177,542,2012
2303,R PULLUR AT PULLUR BR.,3,28,6.5,6.3,49,1,0.22,87,323,2012
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,3,29,4.9,6.6,169,2.1,0.76,250,1241,2012
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,3,28,4.2,6.5,19575,1.4,0.39,210,528,2012
2305,R SHRIYA AT ANGADIMOGARU,3,28,6.9,7.1,63,0.9,0.16,152,336,2012
2296,THALLASSERY AT PATHIPPALAM,3,26,6.6,6.7,69,0.8,0.38,185,464,2012
2292,THIRUR AT THALAKKADATHUR BDG,3,29,4.5,6.6,6381,2.1,0.34,196,435,2012
2306,R UPPALA AT  UPPALA BR.,3,29,6.2,7.2,9326,1.3,0.22,61,141,2012
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",3,27,6.6,7.1,15158,1.1,0.26,126,810,2012
1442,VAMANAPURAM,3,29,6.3,7.3,74,1.2,0.29,725,1813,2012
